filter_column,drop_column,keep_column
1,54,40
45,17,78
50,97,21
70,29,71
23,89,93
100,30,35
69,81,33
56,61,6
68,79,9
56,92,49
83,88,79
50,92,32
52,70,75
23,50,25
35,39,54
68,81,57
47,40,56
83,90,28
73,5,81
30,93,60
6,2,5
21,38,35
84,70,36
70,77,79
89,54,96
45,52,91
13,57,3
97,16,56
17,87,66
49,82,65
62,56,13
40,49,46
93,76,17
23,37,14
3,79,25
50,24,31
38,63,67
13,27,73
21,60,19
59,46,25
23,77,76
15,67,25
25,34,99
7,27,34
30,54,61
100,25,32
7,62,58
79,26,79
52,92,36
12,64,78
90,8,14
59,54,17
44,14,50
63,45,46
41,95,14
67,47,8
49,17,39
92,8,17
27,19,80
11,29,7
11,25,30
57,14,99
57,73,1
54,39,64
64,39,37
95,4,78
65,60,37
53,61,98
40,63,99
12,65,69
9,45,8
86,57,80
80,79,27
66,57,40
67,40,20
96,27,11
5,92,84
71,48,21
10,32,22
1,56,21
11,5,79
27,42,61
42,87,48
36,59,44
29,90,78
30,10,19
97,94,82
40,0,21
15,53,72
60,100,84
3,98,30
46,67,71
6,16,30
2,11,52
13,17,37
99,43,8
22,39,7
50,53,57
69,36,55
82,92,45
