filter_column,drop_column,keep_column
10,15,87
58,2,4
40,85,26
1,36,91
13,81,38
37,24,92
76,78,42
17,11,95
63,88,9
12,70,40
86,16,79
7,86,77
38,91,42
66,44,46
79,51,78
55,59,54
24,72,52
58,61,50
30,90,30
88,9,93
93,7,38
79,66,58
79,48,90
62,51,29
59,72,69
27,62,75
32,46,49
85,65,47
1,55,51
84,90,74
55,69,18
84,36,90
99,22,71
60,80,48
68,79,92
55,56,44
85,22,80
61,68,96
25,11,59
52,67,8
5,44,74
75,25,52
89,53,12
58,1,37
13,98,71
51,79,6
21,29,26
76,11,65
50,83,46
81,94,24
38,13,17
92,36,84
74,0,98
70,24,83
0,48,80
31,95,31
97,83,43
49,29,97
27,39,36
57,50,54
38,22,68
98,92,51
83,21,92
35,42,65
18,27,3
35,0,97
64,86,6
37,9,45
87,17,21
55,70,86
38,33,93
49,87,22
61,92,1
94,32,73
26,26,55
60,51,67
4,89,68
60,18,29
8,88,0
10,86,47
71,46,14
99,46,96
87,71,87
68,15,77
61,21,91
100,61,5
69,15,21
71,8,7
3,30,55
50,36,51
40,22,2
14,89,35
45,57,11
6,21,71
59,3,97
37,21,54
23,1,17
4,86,25
13,96,55
98,50,42
